seed,pool,static_fee_pips,lp_minus_hodl_bps,fee_income_bps,fee_noise_bps,fee_arb_bps,arb_profit_bps,arb_profit_trend_bps,arb_profit_reversion_bps,arb_fee_trend_bps,arb_fee_reversion_bps,avg_fee_up_pips,avg_fee_down_pips,avg_fee_noise_pips,avg_fee_arb_pips,arb_trades
16,fee-matched,2277,-10.460,5.225,3.704,1.521,0.817,0.576,0.240,1.036,0.485,2277,2277,2277,2277,181
16,static 0.05%,500,-14.352,1.377,0.813,0.564,1.351,0.751,0.599,0.311,0.252,500,500,500,500,317
16,static 0.30%,3000,-9.003,6.663,4.880,1.782,0.727,0.551,0.175,1.283,0.499,3000,3000,3000,3000,162
17,StoikovHook,dynamic,-11.973,4.836,3.444,1.391,0.583,0.377,0.205,0.884,0.507,1555,2920,2266,2505,180
17,fee-matched,2267,-12.128,4.656,3.445,1.211,0.565,0.370,0.194,0.727,0.483,2267,2267,2267,2267,176
17,static 0.05%,500,-15.481,1.225,0.759,0.465,1.008,0.598,0.409,0.261,0.203,500,500,500,500,302
17,static 0.30%,3000,-10.800,6.017,4.558,1.458,0.519,0.350,0.169,0.896,0.562,3000,3000,3000,3000,159
18,StoikovHook,dynamic,-3.274,4.943,3.365,1.577,0.679,0.432,0.246,1.048,0.529,2813,1618,2135,2622,182
18,fee-matched,2135,-3.559,4.647,3.365,1.281,0.676,0.441,0.235,0.766,0.515,2135,2135,2135,2135,184
18,static 0.05%,500,-6.912,1.320,0.788,0.532,1.170,0.669,0.501,0.281,0.251,500,500,500,500,321
18,static 0.30%,3000,-1.928,6.262,4.728,1.533,0.573,0.399,0.174,0.966,0.567,3000,3000,3000,3000,153
19,StoikovHook,dynamic,-7.370,4.342,3.293,1.049,0.443,0.235,0.208,0.576,0.472,1603,2762,2218,2377,149
19,fee-matched,2219,-7.469,4.231,3.293,0.938,0.409,0.217,0.191,0.467,0.470,2219,2219,2219,2219,147
19,static 0.05%,500,-10.459,1.195,0.742,0.453,0.907,0.480,0.426,0.231,0.221,500,500,500,500,315
19,static 0.30%,3000,-6.257,5.459,4.452,1.007,0.329,0.171,0.158,0.491,0.516,3000,3000,3000,3000,128
